plot,depth,BulkDensity_60C.mg_mm3,BulkDensity_105C.mg_mm3,C_LossOfIgnition.pct
1,5-10,1.78313511878947,1.76668434254882,4.39076528430951
1,15-20,1.85077608056436,1.82272166214037,4.18143478846068
1,25-30,1.55633895283833,1.7391510552338,3.8979870351416
1,35-40,1.3932048685577,1.36560364002967,3.64939097205638
2,0-5,1.18232422302419,1.16989720337461,9.27735630705926
2,10-15,1.87862824129521,1.85153606931448,4.08228049012762
2,20-25,1.11070438114488,1.10075737349576,3.44875298349994
2,30-35,1.30169062615636,1.28332511916696,3.76717443249701
2,40-45,1.52623411761585,1.45526698608195,3.26020842626009
3,5-10,1.56827559315155,1.55003983044049,4.33474525949093
3,15-20,1.50859239158546,1.49593674693198,3.27634885669076
3,25-30,1.46796245915419,1.45583304408165,3.16473988439306
3,35-40,1.34545830730483,1.31346167692897,3.5309996516893
4,0-5,1.08285222041404,1.05807476524547,6.28134072314593
4,10-15,1.38524710834888,1.37339503584423,4.18476115278325
4,20-25,1.62000103450883,1.58576084261166,3.61488904795991
4,30-35,1.52848679210749,1.47588358129909,3.38214549607039
4,40-45,1.68258231373719,1.65853194994779,2.85050348567005
5,5-10,1.72743079732778,1.71212891836771,3.66705289199261
5,15-20,1.60806439419561,1.59324071686561,3.04106120651696
5,25-30,1.65978983555289,1.64490538030184,2.54304467768019
5,35-40,1.50821860880483,1.50412574962219,1.86154741128564
6,0-5,0.991337978012709,0.982284152754052,9.1968049700466
6,10-15,1.85475496066877,1.84049324074249,3.45391801035284
6,20-25,1.60806439419561,1.59379957750738,10.1111044019081
6,30-35,1.6717264758661,1.65957042974605,1.80631942197779
6,40-45,1.25394406490349,1.24717358452046,1.86881146294483
7,5-10,1.5324656722119,1.50870986274976,4.34486330307739
7,15-20,1.61602215440442,1.59323603720829,3.85368830084458
7,25-30,1.43299366960175,1.40267672074421,3.3585532386049
7,35-40,1.67188067302958,1.64632431165684,3.20346320346322
8,0-5,1.18232422302419,1.15244296337655,6.25643984668012
8,10-15,1.63591655492645,1.60881316821871,3.99278540104682
8,20-25,1.67968423607491,1.63449633160604,3.58763018337486
8,30-35,1.55236007273393,1.53640928422231,2.995724520453
8,40-45,2.43012036208097,2.41261535801264,2.36089622371213
9,5-10,1.55236007273393,1.52954823386749,4.07220696108912
9,15-20,1.55633895283833,1.53838469213824,3.50846751804555
9,25-30,1.58816999367358,1.54212477026978,3.15905743740794
9,35-40,1.54042343242071,1.52255452060463,2.30411572240399
10,0-5,1.10274662093607,1.08466317868305,4.99331914683032
10,10-15,1.75926183816303,1.74239356334703,3.49382065249223
10,20-25,1.77119847847625,1.75559469986667,3.5060464832922
10,30-35,1.37728934814007,1.36792658940034,2.64676410628519
10,40-45,1.50775137893475,1.49615612296882,3.44773299748113
11,5-10,1.74334631774541,1.72437333232218,4.08937724788309
11,15-20,1.64785319523967,1.63217543503906,3.32398014245629
11,25-30,1.69559975649254,1.62888150179358,2.67479087059796
11,35-40,1.60806439419561,1.59758441464816,1.9356358984717
12,0-5,1.30169062615636,1.28853478436938,5.52156962185808
12,10-15,1.79507175910268,NA,3.14358038500031
12,20-25,1.91443816223486,1.85658350486411,3.07525570683465
12,30-35,1.63591655492645,1.61958828070679,2.11899756398705
12,40-45,1.69162087638813,1.68529788458661,1.29159306130722
13,5-10,1.3932048685577,1.37663500440067,6.04603472050349
13,15-20,1.49267687116784,1.47487756890662,5.76101677258048
13,25-30,1.66376871565729,1.64283414075295,3.07281889141389
13,35-40,1.464824710437,1.6522829434814,4.01227514609383
14,0-5,1.04306341936998,1.01615823210399,9.17281702290809
14,10-15,1.3295427868872,1.31501388488955,6.03445392206055
14,20-25,1.46880359054141,1.44500726201352,5.99707815924032
14,30-35,1.69162087638813,1.67040373493068,3.46053740972908
14,40-45,NA,NA,NA
15,5-10,0.135878755565459,0.134021382732605,7.01959637320853
15,15-20,1.44095142981057,1.42487130055721,6.23934934159566
15,25-30,1.59612775388239,1.57440018262886,5.70592308176498
15,35-40,1.64785319523967,1.63097452233478,3.0743664312422
16,0-5,1.11866214135369,0.874625709321478,7.78426770020195
16,10-15,1.50859239158546,1.46218160177864,6.52158870744532
16,20-25,1.464824710437,1.44808988717038,6.18200794829593
16,30-35,1.22609190417265,1.21234566097675,5.33536585365853
16,40-45,1.72659043772785,1.7148852833859,3.52349563385546
17,5-10,1.3932048685577,1.37425149103551,6.99951697185264
17,15-20,1.43697254970616,1.42018901205211,6.38909678181746
17,25-30,1.28577510573874,1.27145729111613,6.1840058934272
17,35-40,1.58419111356917,1.56434809778535,5.34956221809499
18,0-5,1.09080998062285,1.05336000165471,12.2217032539312
18,10-15,1.44493030991497,1.40156136344199,6.85315168908406
18,20-25,1.3932048685577,1.3741057825182,6.35458302283043
18,30-35,1.45288807012378,1.42873239124601,5.24856471816284
18,40-45,1.64560067906311,1.62973946769864,4.2405973830239
19,5-10,1.34147942720042,1.32670918708369,6.82696841112683
19,15-20,1.34545830730483,1.27965789187294,6.55426689576176
19,25-30,1.73140967743219,1.70960211069678,3.60644476362954
19,35-40,1.43697254970616,1.40670629128063,3.87167736021998
20,0-5,0.856056054462911,0.835064421283269,11.48753894081
20,10-15,1.51655015179428,1.59501233697043,6.49767169334197
20,20-25,1.54042343242071,1.59788951391382,6.3615903975994
20,30-35,NA,NA,NA
20,40-45,NA,NA,NA
21,5-10,1.31362726646958,1.2905283160653,7.02295581106527
21,15-20,1.03908453926558,1.02424457102852,6.54552140471303
21,25-30,1.81138756996207,1.78048110548942,6.02182356204921
21,35-40,1.68764199628373,1.65066179317791,3.31331191507196
22,0-5,1.00725349843033,0.994410986870043,8.14559552013783
22,10-15,1.52052903189868,1.50410553249793,6.49050986229996
22,20-25,1.42105702928854,1.36018193247932,6.19797214660511
22,30-35,1.37728934814007,1.35916424652351,5.97376011910301
22,40-45,1.72659043772785,1.70394375074596,3.17518248175182
23,5-10,1.45288807012378,1.4236174313484,6.75084328562313
23,15-20,1.56031783294274,1.54122499776329,6.59382350709463
23,25-30,1.37331046803567,1.20709545353619,6.44760614272811
23,35-40,1.77915623868506,1.74146070732295,4.18223195500022
24,0-5,1.13457766177132,1.10582316483132,11.3312021920311
24,10-15,1.55633895283833,1.48691733745374,6.38001638001637
24,20-25,1.54440231252512,1.51507001257055,5.91273616963437
24,30-35,1.3971837486621,1.37087878483268,5.83982876297402
24,40-45,1.78313511878947,1.76606708787311,2.22574990905183
25,5-10,1.3255639067828,1.31315388109334,4.48155444126077
25,15-20,1.37331046803567,1.36405100620148,4.35214231823056
25,25-30,1.4864452638001,1.47895392614492,2.44176582303012
25,35-40,1.44890919001938,1.44343422951728,1.2911084043849
26,0-5,1.11468326124929,1.10497847749102,7.48035733505543
26,10-15,1.40116262876651,1.39327040158873,3.74078761259585
26,20-25,1.63591655492645,1.62346605244381,1.69125341795228
26,30-35,1.6677475957617,1.65205821685841,1.56981896442588
26,40-45,1.32372762494964,1.24005130378859,1.90341648388416
27,5-10,1.16640870260656,1.1511675935508,4.0036231884058
27,15-20,1.12661990156251,1.11855533533801,2.89690996270646
27,25-30,1.69559975649254,1.68519435768476,2.13076667772982
27,35-40,1.68764199628373,1.67925182678893,1.54412758480876
28,0-5,1.03112677905677,1.02038327251462,7.35384761272579
28,10-15,1.48074023085462,1.47012395114463,3.33732216460577
28,20-25,1.61219729335873,1.60353038345385,1.68467598791769
28,30-35,1.77517735858065,1.76303995448429,1.72479877347644
28,40-45,1.5324656722119,1.5143040980689,2.3562708859033
29,5-10,1.2579229450079,1.24578206521762,5.50250849652048
29,15-20,1.42503590939294,1.40388371306038,3.56352665102247
29,25-30,1.51257127168987,1.48091485634807,2.78324430700027
29,35-40,1.56827559315155,1.54698871060945,2.49129752235341
30,0-5,0.907781495820186,0.896512206579235,7.56493289710892
30,10-15,1.75528295805862,1.70073942069023,3.91609836743129
30,20-25,1.62795879471764,1.59686276868,2.58351057175028
30,30-35,1.42901478949735,1.40419438470442,2.94206332112859
30,40-45,1.6001066339868,1.58685554154939,1.71604046242774
31,5-10,1.51257127168987,1.47904407417058,5.17435757882052
31,15-20,1.42901478949735,1.41169754099192,3.57602848700658
31,25-30,1.58235560352331,1.56479714268812,2.41397946315976
31,35-40,1.85475496066877,1.80077413837198,1.66085708427313
32,0-5,0.955528057073056,0.927330115274229,8.97954183510964
32,10-15,1.47278247064581,1.45841468572616,4.14203397440694
32,20-25,1.51257127168987,1.4960442011137,2.62005880431234
32,30-35,1.69162087638813,1.6685162527417,2.84852546916889
32,40-45,1.40116262876651,1.39382338624249,2.65034209578681
33,5-10,1.2579229450079,1.24112808482577,4.53638473754936
33,15-20,1.56429671304715,1.53321692026892,3.03719008264464
33,25-30,1.19466033581793,1.1824197049344,2.81177265560478
33,35-40,1.59214887377799,1.57584346682188,2.28788308740069
34,0-5,0.895844855506969,0.887882674811429,8.94904958894068
34,10-15,1.59214887377799,1.57795752216267,4.29530201342283
34,20-25,1.57225447325596,1.54981978191698,3.04231306382817
34,30-35,1.23404966438146,1.21537699233786,3.12897272913678
34,40-45,1.89859147457492,1.8931343682992,2.56479585924525
35,5-10,1.14651430208454,1.13500044659817,4.47781203914734
35,15-20,1.50063463137665,1.48157051725769,3.65842040077487
35,25-30,1.42395304884114,1.40858875846982,2.49750249750248
35,35-40,1.58021223346477,1.52437990274768,2.00366151342554
36,0-5,0.983380217803897,0.968006618711545,11.277498658602
36,10-15,1.64387431513526,1.62570115067391,4.24656371966739
36,20-25,1.64387431513526,1.62808637266585,1.96832129365764
36,30-35,1.5324656722119,1.50937719933586,3.01034504915503
36,40-45,1.66193344308444,1.63617540271366,2.54801097393691
37,5-10,1.40514150887091,1.39138077006265,5.18540097382331
37,15-20,1.50063463137665,1.48927065944353,3.88906988108815
37,25-30,1.45686695022819,1.44524063325276,2.49991987436302
37,35-40,1.34147942720042,1.32060080440504,3.70654070385974
38,0-5,1.09478886072726,1.07100230541375,14.5177367340956
38,10-15,1.34545830730483,1.32306906363848,4.0074392241952
38,20-25,1.91443816223486,1.89280426834555,3.13990074280709
38,30-35,1.5324656722119,1.50748897942412,3.59628286869194
38,40-45,NA,NA,NA
39,5-10,1.37331046803567,1.35563941921097,5.93859891738117
39,15-20,NA,NA,NA
39,25-30,2.25952452004377,2.24458795667576,1.65914221218961
39,35-40,1.18630310312859,1.17217793733694,2.59067357512951
40,0-5,1.07887334030964,1.06213567914222,8.07918427337864
40,10-15,1.23007078427706,1.21354101694789,4.32777099443766
40,20-25,1.46084583033259,1.44104817219425,3.76924576106022
40,30-35,1.13855654187572,1.12487740727144,4.12250623441398
40,40-45,1.38524710834888,1.37499393006041,2.33835683033541
41,5-10,1.31362726646958,1.29051158466686,6.41560246720529
41,15-20,1.59214887377799,1.57182207767869,3.89189616342013
41,25-30,1.71549415701457,1.68937729717713,3.35280670561342
41,35-40,1.38126822824448,1.34530991556805,3.57769888026219
42,0-5,1.14651430208454,NA,6.45954586441512
42,10-15,1.58021223346477,1.56222633677042,3.04846274101095
42,20-25,1.65978983555289,1.63418587184056,2.86502777878646
42,30-35,NA,NA,NA
42,40-45,NA,NA,NA
43,5-10,1.11866214135369,1.10000425212154,8.10480520115364
43,15-20,1.38524710834888,1.36242137009048,5.30366638678981
43,25-30,0.95592721292342,0.940004350186365,3.68943423091419
43,35-40,1.77119847847625,1.74598259439387,3.18630273714922
44,0-5,1.09478886072726,1.0749139165468,8.69612127097157
44,10-15,1.23404966438146,1.21800804540812,4.25566540542739
44,20-25,1.54838119262952,1.53702256646455,2.45213579787456
44,30-35,1.52052903189868,1.50484625709689,3.43665768194069
44,40-45,1.53759306877017,1.51842562105211,6.47880129405755
45,5-10,1.26985958532112,1.25199389759622,4.48950036205646
45,15-20,1.45288807012378,1.43342974775605,NA
45,25-30,1.6717264758661,1.80062473589596,2.91610119358319
45,35-40,1.56031783294274,1.53381389309596,3.7317900618639
46,0-5,1.1226410214581,1.09101335339036,9.85861490534388
46,10-15,1.40912038897532,1.38028853643661,5.41264489909018
46,20-25,1.49665575127225,1.47101996464154,3.97153830122959
46,30-35,1.55236007273393,1.50570601099558,3.88465775734062
46,40-45,1.63193767482204,1.60137410907192,2.7166142407778
47,5-10,1.32158502667839,1.30155884378685,5.73137074517017
47,15-20,1.69559975649254,1.672913418428,4.18804768295571
47,25-30,1.56827559315155,1.54428667394464,3.17417567619562
47,35-40,1.63193767482204,1.59828651021962,2.79369627507164
48,0-5,1.0510211795788,1.02288698545763,7.20110134491158
48,10-15,1.65581095544848,1.63152748353361,3.63288718929253
48,20-25,1.65978983555289,1.64222592194915,2.23296732816225
48,30-35,1.58419111356917,1.56202952991954,3.09617219807021
48,40-45,1.24490201929772,1.21958626903239,3.7329102701694
